date,open,high,low,close,volume
20241107,56900,58100,56800,57500,17043102
20241108,58000,58300,57000,57000,13877396
20241111,56700,56800,55000,55000,29811326
20241112,54600,54600,53000,53000,37962881
20241113,52000,53000,50500,50600,52527995
20241114,50200,51800,49900,49900,48510715
20241115,50300,54200,50300,53500,46774485
20241118,57000,57500,55900,56700,48095234
20241119,56500,57500,55900,56300,31539632
20241120,56100,56500,54800,55300,20864667
20241121,54900,56900,54700,56400,19096850
20241122,56000,56700,55900,56000,15281543
20241125,57400,57900,56700,57900,36237325
20241126,57900,58900,57500,58300,23209405
20241127,57700,57800,56000,56300,21808387
20241128,56000,56400,55200,55500,20001134
20241129,55100,55300,53800,54200,24513531
20241202,54300,54400,53100,53600,22044867
20241203,53100,54400,53100,53600,23374603
20241204,52000,53400,52000,53100,29004766
20241205,53200,54400,53200,53700,23588277
20241206,53900,54400,52700,54100,22861874
20241209,53500,54600,53200,53400,26227680
20241210,54500,54500,53700,54000,20783970
20241211,53600,54200,53400,54000,14565947
20241212,54000,56500,53900,55900,33476698
20241213,55800,56300,55500,56100,15908823
20241216,56300,56600,55200,55600,15277277
20241217,54700,55200,54000,54200,20215230
20241218,54100,55400,54000,54900,13698937
20241219,53500,53800,53100,53100,22481925
20241220,52700,53100,51900,53000,24674774
20241223,53400,54000,53300,53500,13672650
20241224,53700,54500,53600,54400,11634677
20241226,54500,54600,53500,53600,10517075
20241227,53500,54100,53200,53700,10747196
20241230,53300,54000,53100,53200,12624702
20250102,52700,53600,52300,53400,16630538
20250103,52800,55100,52800,54400,19318046
20250106,54400,56200,54300,55900,19034284
20250107,56800,57300,55400,55400,17030235
20250108,54800,57500,54700,57300,26593553
20250109,57600,57700,56100,56100,24490592
20250110,56100,56500,55200,55300,16059223
20250113,54600,55000,54100,54100,16868600
20250114,54200,54600,53700,53900,17465926
20250115,54100,54700,53500,53700,18625025
20250116,54200,55000,54100,54300,18627298
20250117,53800,54100,53200,53700,18805344
20250120,53600,53900,53300,53400,11822531
20250121,53700,54300,53300,53500,13535702
20250122,53400,54400,53100,54300,18341991
20250123,53700,54100,53500,53700,15588067
20250124,53600,53800,53200,53700,11867631
20250131,52200,53000,51700,52400,42186279
20250203,51100,51400,50800,51000,32344897
20250204,51600,53600,51500,52700,27214851
20250205,53600,53800,52800,52900,15974885
20250206,53400,54000,53200,54000,16466025
20250207,53900,54200,53600,53700,14476866
20250210,53000,55900,52900,55600,27577591
20250211,55500,56300,55000,55700,24596196
20250212,55100,55900,54500,55800,26428596
20250213,56100,56400,55600,55800,22448377
20250214,56000,57300,56000,56000,23979779
20250217,56100,56500,55700,56000,11916027
20250218,56200,57200,55900,56900,22131007
20250219,57400,58900,57300,58700,25395151
20250220,59100,59100,58100,58400,21589059
20250221,58400,58500,57100,58200,22198428
20250224,57300,57700,57200,57300,14138471
20250225,56600,57800,56500,57200,14625181
20250226,57000,57100,56100,56600,18117091
20250227,56500,57100,56200,56300,14975356
20250228,55400,55700,54500,54500,28036698
20250304,53900,55000,53800,54500,18553933
20250305,55100,55400,54000,54000,16578817
20250306,54100,54500,54000,54300,12258101
20250307,53500,54200,53400,53700,14274992
20250310,53500,54800,53500,53700,12921670
20250311,52500,54100,52500,53600,17740891
20250312,53800,55300,53600,54900,17973221
20250313,55800,55900,54200,54700,24132151
20250314,54500,55100,54400,54700,10845154
20250317,55500,57800,55400,57600,35559021
20250318,58800,59000,57300,57600,28138594
20250319,57400,59200,57400,58500,29421759
20250320,59200,60300,58500,60200,34989004
20250321,60900,61700,60400,61700,40155612
20250324,61200,61600,60500,60500,14088094
20250325,60900,61100,59500,59800,17259455
20250326,59800,61400,59700,61400,16431645
20250327,60900,62000,60800,61800,20389790
20250328,60700,61100,60000,60200,16282514
20250331,59500,59700,57800,57800,17633494
20250401,58700,59600,57900,58800,13841706
20250402,58800,59400,58300,58800,14402297
20250403,56900,57800,56900,57600,19508076
20250404,56200,58200,55700,56100,23527139
20250407,53300,54100,53100,53200,31998883
20250408,55000,55300,53300,53500,25532845
20250409,53300,54300,52900,53000,20576960
20250410,56600,56700,55000,56400,22948172
20250411,55600,55700,54800,55200,13930480
20250414,56300,56700,55800,56200,12852613
20250415,56300,57100,56200,56600,8998640
20250416,56000,56200,54500,54700,14437025
20250417,54700,55300,54500,55100,10867069
20250418,55300,55600,54900,55300,5848342
20250421,55200,56000,55100,55400,5941847
20250422,54900,55500,54700,55000,9532469
20250423,56000,56100,55500,55700,11148692
20250424,55600,55800,55200,55700,10580377
20250425,56400,56400,55600,55700,12183303
20250428,55800,55900,55500,55800,9341518
20250429,55700,56500,55600,55800,10295518
20250430,55900,56000,55300,55500,13014189
20250502,55000,55500,54200,54300,22454204
20250507,54500,55000,54300,54600,17136991
20250508,55100,55500,54500,54600,16320532
20250509,54700,55000,54400,54800,7814322
20250512,55200,57600,55000,57600,15414702
20250513,57700,58200,56800,56900,16842801
20250514,57500,57900,57000,57400,12468089
20250515,57400,58600,57100,57300,13139736
20250516,57400,57500,56700,56800,10385352
20250519,56400,56400,55500,55800,9802105
20250520,56200,56700,55700,55900,9080577
20250521,56200,56600,55700,55700,7794181
20250522,55300,55500,54500,54700,15254278
20250523,55000,55200,54100,54200,11247115
20250526,53900,55000,53700,54700,10901337
20250527,54200,54500,53800,53900,13439520
20250528,54300,56100,54200,55900,17516283
20250529,56200,56400,55600,56100,12936810
20250530,56200,57200,55800,56200,26219683
20250602,56300,57300,56200,56800,12870515
20250604,57200,57900,56800,57800,19649983
20250605,58100,59900,57900,59100,23266027
20250609,60400,60400,59500,59800,19609659
20250610,60000,60100,58800,59200,15305760
20250611,59500,60100,59400,59900,13610734
20250612,59700,60000,59300,59500,17755115
20250613,60200,60200,57700,58300,20705979
20250616,58000,58100,56900,57200,22200872
20250617,57800,59800,57400,58100,28637003
20250618,58000,59800,57900,59800,17620705
20250619,60500,60600,59000,59200,16876278
20250620,59400,59800,59100,59500,18072251
20250623,58400,58500,57600,58000,16551694
20250624,59400,60600,59300,60500,23737899
20250625,61500,61600,60300,61300,23933612
20250626,61300,61300,59900,60200,19402300
20250627,60100,61600,60000,60800,17340470
20250630,61200,61200,59800,59800,17110294
20250701,60400,61100,60200,60200,13650991
20250702,60200,60900,59800,60800,15047951
20250703,61300,63800,61100,63800,32040639
20250704,64700,64700,63000,63300,23748959
20250707,62900,63300,61700,61700,17164708
20250708,61600,62400,61000,61400,20213724
20250709,61400,61400,60200,60400,17533415
20250710,60600,61200,60400,61000,14768473
20250711,61300,62800,61200,62600,19140650
20250714,62300,62600,61800,62500,13563846
20250715,62300,63800,62000,63700,18442202
20250716,63700,64700,63100,64700,23042660
20250717,65900,66800,64400,66700,39448683
20250718,67000,67800,66300,67100,23951531
20250721,67400,68800,67200,67800,17723148
20250722,68100,68500,65600,66000,20829006
20250723,66200,66500,64900,66400,15687058
20250724,66500,66800,65900,66000,12660193
20250725,65700,66300,65500,65900,8080910
20250728,68200,70400,67200,70400,35332500
20250729,70800,70800,68800,70600,28190940
20250730,71000,73700,70600,72600,34761444
20250731,73000,74000,71000,71400,26568072
20250801,70200,72000,68800,68900,24038534
20250804,69500,70200,68700,69700,14780072
20250805,71000,71500,69700,69900,14392903
20250806,69200,69400,68300,68800,12542415
20250807,70800,71000,69700,70500,15008213
20250808,71000,72400,70700,71800,22241128
20250811,72000,72100,70800,71000,11354253
20250812,71100,72400,71100,71100,15797656
20250813,71900,72100,71400,71900,12305742
20250814,71900,71900,71200,71600,11946122
20250818,71100,71200,70000,70000,13595591
20250819,70400,70700,69700,70000,10533082
20250820,70100,70700,69400,70500,17445516
20250821,71500,71900,70600,70600,18843833
20250822,71700,71800,70800,71400,9277432
20250825,71700,71800,71000,71500,10345178
20250826,70800,71100,70300,70300,14712519
20250827,70100,70900,69800,70600,10523405
20250828,70100,70400,69600,69600,11578024
20250829,70100,70500,69700,69700,11682267
20250901,68400,68600,67500,67600,12002343
20250902,67800,69500,67800,69100,10604028
20250903,69200,69800,68800,69800,10283009
20250904,69500,70100,69300,70100,12284414
20250905,70300,70400,69500,69500,11526724
20250908,69800,70500,69600,70100,9263135
20250909,70100,71500,70000,71500,14870245
20250910,71800,72800,71600,72600,21928565
20250911,73200,73600,72100,73400,20793501
20250912,74600,75600,74200,75400,28219678
20250915,77200,77600,75900,76500,19908805
20250916,76900,79500,76700,79400,28218265
20250917,79100,79100,77100,78200,20856317
20250918,79100,80500,78600,80500,25619035
20250919,81100,81200,79600,79700,20898386
20250922,81500,84000,81100,83500,27529656
20250923,85800,85900,83600,84700,23610263
20250924,84200,85500,83700,85400,18300997
20250925,84400,86200,84100,86100,19665151
20250926,85000,85300,82400,83300,24071193
20250929,83300,85000,83200,84200,13069094
20250930,84600,84900,83400,83900,16319061
20251001,84900,86200,84700,86000,22039361
20251002,89300,90300,88700,89000,49883028
20251010,94000,94500,92700,94400,35269748
20251013,91300,93400,90700,93300,23883308
20251014,95300,96000,90200,91600,35545235
20251015,92300,95300,92100,95000,21050111
20251016,95300,97700,95000,97700,28141060
20251017,97200,99100,96700,97900,22730809
20251020,97900,98300,96000,98100,17589756
20251021,98500,99900,97300,97500,22803830
20251022,97100,98600,95500,98600,15937611
20251023,96800,98500,96300,96500,18488581
20251024,97900,99000,97700,98800,18801925
20251027,101300,102000,100600,102000,22169970
20251028,100900,101000,99100,99500,20002282
20251029,100200,101000,99100,100500,20899788
20251030,102400,105800,102000,104100,34570017
20251031,105000,108600,103300,107500,54824564
20251103,106900,111500,106500,111100,30110066
20251104,111800,112400,104900,104900,30450281
20251105,101000,102000,96700,100600,44843020
20251106,103700,103800,98800,99200,28655689
20251107,96400,100300,96300,97900,22908083
20251110,98600,101000,97900,100600,23842327
20251111,103700,106000,102000,103500,27742542
20251112,103000,103900,101600,103100,19413497
20251113,102500,104200,102300,102800,20838741
20251114,99000,99600,97200,97200,21806342
20251117,99800,101000,99500,100600,17192584
20251118,99800,100900,97500,97800,18684068
20251119,97100,97500,94600,96500,18993346
20251120,100900,102900,99500,100600,25360435
20251121,95600,96800,94500,94800,23103574
20251124,97800,99000,96200,96700,29831172
20251125,101400,101400,97800,99300,16110054
20251126,100500,102900,99300,102800,21314975
20251127,104100,105500,102700,103500,16453004
20251128,103800,103800,100500,100500,15292277
20251201,102000,102800,99900,100800,10905526
20251202,101200,103500,101000,103400,13649487
20251203,104700,105500,104000,104500,14697927
20251204,103900,105100,103200,105100,11931145
20251205,105300,108400,104600,108400,19755571
20251208,109700,110000,108000,109500,15527762
20251209,108900,109400,107300,108400,13671800
20251210,108300,109800,107400,108000,12365092
20251211,109200,110500,107300,107300,22994507
20251212,107100,108900,106800,108900,14210314
20251215,105300,105800,104600,104800,20594654
20251216,104900,105600,102700,102800,18852079
20251217,103500,108100,103400,107900,22297611
20251218,106400,108200,105700,107600,20445631
20251219,109700,109700,106200,106300,25917098
20251222,109700,110500,109300,110500,24859171
20251223,110900,112500,110400,111500,20419187
20251224,112400,112400,110900,111100,12492939
20251226,112400,117000,112400,117000,34018174
20251229,119400,119700,118200,119500,19676004
20251230,119100,121200,118700,119900,19746349
