date,open,high,low,close,volume
2025-10-27,0,0,0,5250,0
2025-10-28,0,0,0,5250,0
2025-10-29,0,0,0,5250,0
2025-10-30,0,0,0,5250,0
2025-10-31,0,0,0,5250,0
2025-11-03,0,0,0,5250,0
2025-11-04,0,0,0,5250,0
2025-11-05,0,0,0,5250,0
2025-11-06,0,0,0,5250,0
2025-11-07,0,0,0,5250,0
2025-11-10,0,0,0,5250,0
2025-11-11,0,0,0,5250,0
2025-11-12,0,0,0,5250,0
2025-11-13,0,0,0,5250,0
2025-11-14,0,0,0,5250,0
2025-11-17,0,0,0,5250,0
2025-11-18,0,0,0,5250,0
2025-11-19,0,0,0,5250,0
2025-11-20,0,0,0,5250,0
2025-11-21,0,0,0,5250,0
2025-11-24,0,0,0,5250,0
2025-11-25,0,0,0,5250,0
2025-11-26,0,0,0,5250,0
2025-11-27,0,0,0,5250,0
2025-11-28,0,0,0,5250,0
2025-12-01,0,0,0,5250,0
2025-12-02,0,0,0,5250,0
2025-12-03,0,0,0,5250,0
2025-12-04,0,0,0,5250,0
2025-12-05,0,0,0,5250,0
2025-12-08,0,0,0,5250,0
2025-12-09,0,0,0,5250,0
2025-12-10,0,0,0,5250,0
2025-12-11,0,0,0,5250,0
2025-12-12,0,0,0,5250,0
2025-12-15,0,0,0,5250,0
2025-12-16,0,0,0,5250,0
2025-12-17,0,0,0,5250,0
2025-12-18,0,0,0,5250,0
2025-12-19,0,0,0,5250,0
2025-12-22,0,0,0,5250,0
2025-12-23,0,0,0,5250,0
2025-12-24,0,0,0,5250,0
2025-12-26,0,0,0,5250,0
2025-12-29,0,0,0,5250,0
2025-12-30,0,0,0,5250,0
2026-01-02,0,0,0,5250,0
2026-01-05,0,0,0,5250,0
2026-01-06,0,0,0,5250,0
2026-01-07,0,0,0,5250,0
2026-01-08,0,0,0,5250,0
2026-01-09,0,0,0,5250,0
2026-01-12,0,0,0,5250,0
2026-01-13,0,0,0,5250,0
2026-01-14,0,0,0,5250,0
2026-01-15,0,0,0,5250,0
2026-01-16,0,0,0,5250,0
2026-01-19,0,0,0,5250,0
2026-01-20,0,0,0,5250,0
2026-01-21,0,0,0,5250,0
2026-01-22,0,0,0,5250,0
2026-01-23,0,0,0,5250,0
2026-01-26,0,0,0,5250,0
2026-01-27,0,0,0,5250,0
2026-01-28,0,0,0,5250,0
2026-01-29,0,0,0,5250,0
2026-01-30,0,0,0,5250,0
2026-02-02,0,0,0,5250,0
2026-02-03,0,0,0,5250,0
2026-02-04,0,0,0,5250,0
2026-02-05,0,0,0,5250,0
2026-02-06,0,0,0,5250,0
2026-02-09,0,0,0,5250,0
2026-02-10,0,0,0,5250,0
2026-02-11,0,0,0,5250,0
2026-02-12,0,0,0,5250,0
2026-02-13,0,0,0,5250,0
2026-02-19,0,0,0,5250,0
2026-02-20,0,0,0,5250,0
2026-02-23,0,0,0,5250,0
2026-02-24,0,0,0,5250,0
2026-02-25,0,0,0,5250,0
2026-02-26,0,0,0,5250,0
2026-02-27,0,0,0,5250,0
2026-03-03,0,0,0,5250,0
2026-03-04,0,0,0,5250,0
2026-03-05,0,0,0,5250,0
2026-03-06,0,0,0,5250,0
2026-03-09,0,0,0,5250,0
2026-03-10,0,0,0,5250,0
